gsize_diff_an4 ,gf_diff_an4, g_itgcurv_diff_an4, face_itgcurv_an4_left, face_area_an4_m_an5, fnnf_maxdec_r_m_l, fnnf_avgdec_r_m_l, move_left
-8.644, -5.000, 246.302,  2.720,  5.326, 1141.322, 320.953,     -1
14.956,  6.000, 333.134, 46.920, -76.871, 1185.237,  4.044,      1
 7.437,  4.000, 248.194, -5.002, -38.908, 21.838, -401.808,     -1
-6.861, 11.000, 126.486, -11.796, 56.489, 1966.832, 838.653,      0
-55.957, -13.000, -268.755, -84.628, 86.440, -310.115, -337.336,     -1
 8.690, 14.000, -270.741, -272.321, 2897.142, -2813.302, -312.619,      1
-28.738, -6.000, -126.027,  1.280, 205.708, 1809.168, 313.990,     -1
 0.352, 14.000, 286.467, -3.113, -66.325, 2540.157, 563.340,     -1
11.403,  7.000, 156.110, 11.311, 172.344, 2030.586, 458.565,      1
-9.714,  3.000, -238.385,  4.708, 126.467, 2479.318, 756.320,      0
10.716, 12.000, 49.013, 120.042, 110.254, 2761.608, 507.188,      0
76.565, 27.000, 770.383, 48.295, 105.571, 2779.439, 1288.279,      0
-65.486, -13.000, -150.066, -22.836, 56.997, 2856.713, 1003.357,      1
41.108, 26.000, 1641.257, 89.924, 618.858, -535.019, 170.208,      1
 8.029,  7.000, 345.305, -16.631, -178.003, 1129.017, 487.174,      1
-30.091, -8.000, -385.539, -0.054, 59.834, 265.884, 642.393,     -1
-19.315, -3.000, -210.595,  9.253, 66.082, 2788.885, 1209.312,     -1
-43.097, -6.000, -243.318,  2.667, 55.128, 2782.301, 752.961,     -1
-39.254, -7.000, -113.600, -11.454, 46.869, 2748.018, 470.805,      1
-2.451,  0.000, 112.985, 11.372, -128.059, 267.422, 19.142,      0
-9.452,  1.000, 115.526,  1.233, 40.380, -324.082, -175.853,      1
-31.007, -6.000, 88.571,  8.186, -5.028, -1.210, -89.023,      1
-28.190, -6.000, 138.337,  3.733, -73.955, -13.773, -185.405,     -1
-1.385,  2.000, 12.915,  0.943, -50.733, -182.032, -203.199,      0
-4.501,  4.000, 32.885, 10.607, 17.790, -214.880, -277.336,      1
 5.375,  8.000, -40.907, 27.500,  3.033, 91.222, -105.386,     -1
-10.104,  0.000, -114.030, -2.625, 77.644, 666.015, 108.333,      1
-17.848, -4.000, -73.768, -2.142, 126.907, 624.275, 279.445,     -1
 1.191,  6.000, -304.118, -2.703, 246.942, 418.252, 448.194,      1
65.093, 22.000, 664.248,  9.321, 231.140, -1244.646, -127.917,      1
-12.150, -6.000, 55.600,  0.444, 80.083, 315.577, 201.958,      1
28.473,  6.000, -45.988,  9.214, 529.836, -2244.886, -495.523,     -1
-17.410, -14.000, -302.960, -177.674, -114.910, -301.090, -117.461,     -1
-31.769, -22.000, -449.651, -44.955, -108.289, -132.543, -52.174,     -1
-23.644, -17.000, -322.422, -1.265, 19.037, 95.712, -17.334,     -1
-11.020, -20.000, -245.879, 83.587, 423.856, 196.979, 193.401,      1
-24.771, -17.000, -351.690, -16.122, 19.611, 44.149, 14.196,     -1
12.011, -6.000, -49.571,  4.928, 353.154, -1540.529, -410.544,     -1
-1.466, -5.000, -125.842, 110.939, 164.460, 325.303, 123.565,      0
-1.246, -10.000, -335.849,  1.424, -126.156, -1287.843, -227.686,      1
19.715, -7.000, -179.818, -3.292, -100.318, 353.141, 206.679,      1
97.172, 61.000, 926.831, 27.927, 165.603, -3462.612, -460.912,      0
-39.500, -23.000, -352.272, -29.904, 159.500, 182.741, 96.223,     -1
-28.249, -22.000, -352.418, -6.858,  3.943, 238.099, 243.678,     -1
73.127, 14.000, 459.946, 19.445, 142.980, -472.939, -68.667,      1
-42.532, -24.000, -274.209, -3.937, -53.798, 346.810, 223.441,      1
-22.162, -18.000, -443.247, -92.851, -254.025, 325.303, 39.106,     -1
-27.082, -19.000, -350.067, 11.966, 49.389, -382.140, 21.420,      0
-34.631, -20.000, -454.838,  7.669, 31.341, 44.149, 21.245,      1
15.729,  2.000, 423.524, -1.617, -95.348, 153.556, 264.624,     -1
-40.835, -22.000, -331.898,  8.881, 32.529, 336.462, 255.842,     -1
-22.986, -14.000, -316.431,  9.197, 22.820, -558.509, -16.584,     -1
-1.867, -1.000, -92.183, -34.112, -20.421, 150.094, 27.293,      1
 0.088,  0.000, 126.200,  7.372, 51.516, 61.709, 52.327,      0
181.090, 54.000, 2484.132, -6.493, 106.243, 105.848, 284.476,      1
79.245, 36.000, 2054.946, 277.098, 12.389, 75.205, 363.114,      1
44.063, 11.000, 108.514, 11.041, 105.581, 116.740, 227.191,      1
20.993,  7.000, 100.529, -11.123, 348.649, -94.647, -59.599,     -1
181.053, 77.000, 4198.622, 30.530, 178.797, 107.898, 369.325,      1
28.805, 14.000, 11.954, -8.569, 20.283, 1316.240, 269.291,      1
 1.973, -2.000, -4.420, -29.487, -66.367, -32.194, -31.620,     -1
36.908,  7.000, 121.318,  3.320, 85.900, 975.126, -73.674,      1
-3.407,  0.000, -180.520, -41.268, -104.018, 1037.767, 206.704,      1
17.098,  5.000, 257.735, 19.403, 102.388, 964.323, 43.363,      1
-20.542, -6.000, -190.806, -29.487, -10.302, 1636.263, 209.529,     -1
-6.826,  7.000, -31.723, 11.607, 65.882, -66.178, 81.909,     -1
70.005, 27.000, 439.253, 13.112, -32.403, -184.438, -311.765,      1
54.409, 23.000, 367.198, -0.519, -9.175, -57.254, -241.556,      1
-11.262, -5.000, -35.543,  2.125, -13.786, 1293.133, 261.470,      1
 7.709, -4.000, 136.334,  7.233, -1474.122, -125.600, 365.986,      1
-5.397, -3.000, 33.013, 41.874, -55.279, 1050.435, 58.333,     -1
15.775,  4.000, -609.030, -20.639, 43.549, -87.200, -166.033,      0
54.520, 15.000, -506.205, -6.237, -73.607, 61.371, 102.092,     -1
93.489, 22.000, 163.838, -0.838,  1.329, 128.372, 159.562,      1
55.344, 18.000, 378.744, -4.465, 103.295, -2267.844, -607.538,     -1
29.665,  3.000, -181.888,  3.759, -34.458, -85.865, -134.048,     -1
-21.898, -10.000, -229.904,  5.554, 110.951, -6.078, -57.214,     -1
47.813, 13.000, 16.119, -6.368, 326.144, -14.655, 127.292,      1
