move_left ,gV_diff_an4, gF_diff_an4 ,gFnnF_diff_an4, gMs_diff_an4, fMs_an4_left, FnnF_A_maxdec, FnnF_A_avgdec, FnnF_fMs_maxdec, FnnF_fMs_avgdec
    -1, -8.644, -5.000, -6.571, 246.246,  2.720, 1141.322, 320.952, 78.234, 72.181 
     1, 14.956,  6.000,  1.111, 333.091, 46.914, 1185.238,  4.044, -141.932, -110.910 
    -1,  7.437,  4.000, -0.688, 247.811, -5.002, 21.838, -401.808, -194.264, -116.253 
     0, -6.861, 11.000, 16.019, 120.309, -11.757, 1966.831, 838.652, -49.301, -52.834 
    -1, -55.957, -13.000, -10.422, -274.956, -84.627, -310.116, -337.336, 34.717, -3.387 
     1,  8.690, 14.000, 16.872, -277.167, -272.330, -2813.303, -312.619, -843.460, -148.690 
    -1, -28.738, -6.000, -4.056, -132.231,  1.280, 1809.168, 313.990, -662.800, -436.523 
    -1,  0.352, 14.000, 19.153, 280.191, -3.100, 2540.156, 563.340, 193.070, 38.133 
     1, 11.403,  7.000,  8.978, 149.892, 11.312, 2030.586, 458.565, -261.074, -16.527 
     0, -9.714,  3.000,  6.825, -249.648,  4.709, 2479.317, 756.319, -443.034, -281.728 
     0, 10.716, 12.000, 15.878, 42.829, 120.048, 2761.609, 507.188, -175.897, -28.006 
     0, 76.565, 27.000, 34.289, 764.118, 48.295, 2779.438, 1288.279, 63.287, 57.861 
     1, -65.486, -13.000, -14.622, -156.268, -22.839, 2856.713, 1003.357, 183.686, 64.345 
     1, 41.108, 26.000, 28.846, 1635.208, 89.918, -535.019, 170.208, -159.513, -85.612 
     1,  8.029,  7.000, 15.578, 338.400, -16.631, 1129.016, 487.174, -571.686, -160.028 
    -1, -30.091, -8.000, -9.122, -391.774, -0.054, 265.884, 642.393, 47.164, -114.366 
    -1, -19.315, -3.000,  0.311, -216.785,  9.252, 2788.883, 1209.311, -261.074, -121.790 
    -1, -43.097, -6.000, -2.056, -249.523,  2.667, 2782.301, 752.961, 183.686, 71.767 
     1, -39.254, -7.000, -3.404, -119.799, -11.454, 2748.018, 470.805, 217.441, 95.171 
     0, -2.451,  0.000, -3.077, 114.750, 11.373, 267.422, 19.142, 32.045, -4.995 
     1, -9.452,  1.000, -2.516, 115.614,  1.233, -324.082, -175.854, -28.673, -46.191 
     1, -31.007, -6.000, -9.659, 88.622,  8.183, -1.211, -89.023, -202.832, -208.594 
    -1, -28.190, -6.000, -6.659, 137.000,  3.733, -13.773, -185.405, -94.979, -66.193 
     0, -1.385,  2.000,  1.169, 13.153,  0.943, -182.032, -203.199, -56.829, -60.463 
     1, -4.501,  4.000,  5.299, 32.846, 10.609, -214.879, -277.337, 92.353, 49.472 
    -1,  5.375,  8.000,  8.188, -41.262, 27.486, 91.222, -105.387, -36.854, -110.610 
     1, -10.104,  0.000, -4.917, -116.144, -2.625, 666.014, 108.333, 61.669, 145.072 
    -1, -17.848, -4.000, -10.250, -75.888, -2.142, 624.275, 279.445, 528.282, 315.151 
     1,  1.191,  6.000,  4.472, -306.238, -2.706, 418.253, 448.194, 65.942, 164.840 
     1, 65.093, 22.000, 20.216, 664.252,  9.321, -1244.643, -127.916, -51.925, -84.939 
     1, -12.150, -6.000, -11.667, 55.606,  0.444, 315.577, 201.958, -195.060, -29.634 
    -1, 28.473,  6.000,  3.333, -45.964,  9.219, -2244.885, -495.523,  4.185, -7.257 
    -1, -17.410, -14.000, -17.411, -302.709, -177.334, -301.091, -117.461, -1541.219, -206.618 
    -1, -31.769, -22.000, -33.773, -449.299, -44.962, -132.543, -52.174, -453.664, -101.366 
    -1, -23.644, -17.000, -27.928, -322.087, -1.265, 95.712, -17.334, 60.969, 113.618 
     1, -11.020, -20.000, -22.011, -245.576, 83.586, 196.979, 193.401, -179.979, 13.332 
    -1, -24.771, -17.000, -28.095, -351.341, -16.120, 44.148, 14.195, -13.294, 64.498 
    -1, 12.011, -6.000, -9.693, -49.273,  4.926, -1540.530, -410.545, -79.685, -75.433 
     0, -1.466, -5.000, -3.886, -125.455, 110.945, 325.304, 123.565, 121.306, 36.488 
     1, -1.246, -10.000, -12.661, -335.556,  1.424, -1287.844, -227.686, 224.982, 67.553 
     1, 19.715, -7.000, -10.618, -179.676, -3.291, 353.141, 206.679, -37.998,  0.236 
     0, 97.172, 61.000, 63.177, 927.285, 27.927, -3462.615, -460.912, -453.664, -89.093 
    -1, -39.500, -23.000, -28.178, -352.154, -29.904, 182.740, 96.223, 159.716, 70.414 
    -1, -28.249, -22.000, -23.631, -352.059, -6.857, 238.098, 243.678, 121.306, 91.204 
     1, 73.127, 14.000, 15.167, 460.531, 19.442, -472.937, -68.667, -67.125, -0.653 
     1, -42.532, -24.000, -27.545, -273.868, -3.936, 346.809, 223.441, 96.506, -18.606 
