A_an4, fMs_an4, avg_FabsavgH_an4, C_an4, CnnC_an4, A_diff, fMs_diff, avg_FabsavgH_diff, C_diff, CnnC_diff
131.174,  8.767,  0.067,  7.000, -0.400, -5.326,  1.640, -0.308, -3.000, -2.100
581.919, 78.679,  0.135,  6.000, -4.333, 76.872, -42.617, -0.554,  0.000,  3.533
253.832, 13.403,  0.053,  3.000, -4.167, 38.908,  4.856,  0.125,  1.000,  1.667
710.588, 24.252,  0.034,  4.000, -3.125, -56.489, 19.060, -0.337, -2.000, -6.125
142.084, 96.785,  0.681, 11.000,  4.438, -86.440, -35.285,  0.408, -8.000, -6.771
12119.498, 703.928,  0.058,  8.000,  2.071, -2897.141, -98.347,  0.034,  7.000,  6.883
250.809,  9.061,  0.036,  7.000,  0.583, -205.708, -5.525,  0.027, -4.000, -4.417
226.769, 59.970,  0.264,  5.000, -1.875, 66.325, -26.645, -0.402,  0.000, -1.025
1016.769, 58.989,  0.058,  8.000,  1.250, -172.343, 47.148, -0.274, -2.000, -2.083
1923.499, 42.524,  0.022,  3.000, -4.500, -126.467, 15.735, -0.124,  4.000,  4.929
1168.893, 161.206,  0.138,  6.000,  0.250, -110.254, -133.836,  1.214,  3.000,  2.000
1390.626, 64.956,  0.047,  5.000, -0.100, -105.571, 79.741, -0.755,  1.000, -1.500
126.742, 35.544,  0.280,  8.000,  1.929, -56.997, -25.897,  0.454, -5.000, -4.762
2071.424, 165.215,  0.080,  6.000, -1.100, -618.857, -5.206,  0.008,  0.000, -2.200
4391.598, 62.191,  0.014,  5.000, -2.625, 178.004, 15.608,  0.088,  5.000,  6.625
83.566,  5.754,  0.069,  6.000,  1.100, -59.834, -5.584,  0.093, -2.000, -4.767
211.200, 32.172,  0.152,  8.000,  1.857, -66.082, -1.438,  0.022, -5.000, -8.690
123.335,  8.337,  0.068,  9.000,  3.889, -55.128,  2.706, -0.049, -5.000, -7.389
778.207, 23.627,  0.030,  5.000, -1.500, -46.869, 12.397, -0.265,  3.000,  3.188
1060.943, 67.568,  0.064, 17.000, 10.429, 128.060, 18.349,  0.143, -7.000, -6.804
200.287,  9.308,  0.046,  7.000, -0.857, -40.380, -1.513,  0.037, -3.000, -2.018
10.033, 18.440,  1.838,  4.000, -3.500,  5.028, 74.286, 14.773,  0.000,  2.000
114.675,  6.376,  0.056,  7.000, -1.625, 73.955, 250.714,  3.390, -2.000,  2.125
100.250,  6.588,  0.066,  1.000, -6.500, 50.733, 12.286,  0.242,  3.000,  3.625
63.844, 19.359,  0.303,  4.000, -4.375, -17.790,  9.496, -0.534,  0.000,  0.875
262.099, 145.879,  0.557,  9.000,  0.667, -3.033, -110.587, 36.456, -5.000, -2.167
124.506,  6.089,  0.049,  5.000, -2.625, -77.644, -0.669,  0.009,  0.000,  2.325
170.120, 12.743,  0.075,  5.000, -5.000, -126.907, -7.969,  0.063, -1.000,  2.875
569.620, 39.781,  0.070,  2.000, -6.000, -246.942, -23.002,  0.093,  4.000,  6.583
971.736, 43.203,  0.044,  6.000, -1.167, -231.139, -3.682,  0.016,  0.000,  1.667
223.768, 10.381,  0.046, 14.000,  6.600, -80.083, 20.464, -0.256, -11.000, -9.100
541.828, 47.271,  0.087,  4.000, -5.667, -529.837, -46.455,  0.088, -1.000,  2.000
58.777, 207.219,  3.525,  4.000, -2.250, 114.910, -175.700, -1.529,  2.000, -1.250
935.804, 78.463,  0.084,  7.000, -3.250, 108.290,  5.487,  0.051, -2.000,  1.750
522.175, 41.965,  0.080,  7.000, -1.417, -19.037, 10.766, -0.566,  2.000,  0.817
3043.390, 276.825,  0.091,  7.000, -1.875, -423.857, -125.550,  0.296,  4.000,  5.232
110.137, 22.672,  0.206,  8.000, -0.643, -19.611, -8.750,  0.446, -3.000, -1.732
1592.722, 66.489,  0.042, 15.000,  8.500, -353.153, -31.097,  0.088, -5.000, -5.167
1243.455, 146.462,  0.118,  9.000,  2.000, -164.459, -131.409,  0.799,  4.000,  3.375
355.470, 21.416,  0.060,  8.000,  0.000, 126.157, 39.837,  0.316, -1.000, -0.167
715.882, 43.054,  0.060,  7.000,  0.714, 100.318, 11.273,  0.112,  3.000, -0.014
1904.120, 42.160,  0.022,  4.000, -4.750, -165.603, 12.605, -0.076,  6.000,  6.694
605.325, 55.126,  0.091, 12.000,  4.950, -159.500,  7.360, -0.046, -6.000, -4.200
81.963, 18.261,  0.223,  8.000, -1.667, -3.943, 16.930, -4.293, -2.000, -0.958
177.069, 41.539,  0.235,  6.000, -0.333, -142.980, -39.368,  0.275, -2.000, -2.167
130.266, 12.847,  0.099, 12.000,  4.500, 53.798, 29.041,  0.540, -8.000, -8.000
2057.014, 136.435,  0.066,  6.000, -1.500, 254.024, 41.927,  0.165, 10.000, 10.650
72.199, 19.301,  0.267,  6.000, -4.000, -49.389, -16.882,  0.342,  0.000,  0.833
113.382, 19.245,  0.170,  8.000, -0.800, -31.340, -6.576,  0.210, -4.000, -1.825
37.610,  7.956,  0.212,  5.000, -2.000, 95.348, 45.075,  0.473,  6.000,  3.250
160.497, 90.458,  0.564,  8.000,  1.714, -32.528, -61.448,  1.889, -2.000, -2.414
1253.487, 99.564,  0.079,  3.000, -1.667, -22.820, -13.622,  0.597, 13.000, 10.611
1055.494, 95.118,  0.090,  7.000,  1.800, 20.420, 42.613,  2.087, -2.000, -1.200
490.799, 20.752,  0.042,  3.000, -4.500, -51.515,  4.030, -0.078,  2.000,  4.600
968.212, 31.475,  0.033,  3.000, -1.833, -106.243, -10.940,  0.103,  2.000,  1.208
659.220, 290.260,  0.440,  3.000, -1.833, -12.389, -226.646, 18.295,  1.000, -0.667
205.177, 24.527,  0.120,  3.000, -1.333, -105.581, -18.107,  0.171,  1.000, -0.667
1300.916, 64.928,  0.050,  3.000, -2.333, -348.649, -2.228,  0.006,  2.000,  1.733
1486.396, 53.281,  0.036,  3.000, -5.667, -178.797, -21.605,  0.121,  3.000,  5.967
366.562, 23.219,  0.063,  8.000,  2.000, -20.283,  0.181, -0.009, -3.000, -4.500
64.653, 35.188,  0.544,  3.000, -5.000, 66.367, -15.556, -0.234,  0.000,  0.500
270.850,  9.605,  0.035,  5.000, -3.100, -85.900,  2.349, -0.027, -4.000, -3.400
716.394, 46.267,  0.065, 10.000,  1.938, 104.018, 48.559,  0.467,  0.000,  0.991
1599.530, 145.273,  0.091,  3.000, -3.000, -102.388, -30.420,  0.297,  0.000, -2.000
512.650, 42.937,  0.084,  3.000, -6.000, 10.302, 25.240,  2.450,  5.000,  8.250
103.325, 28.823,  0.279,  6.000, -3.833, -65.882, -7.536,  0.114, -3.000, -4.000
257.831, 28.277,  0.110,  9.000,  3.278, 32.403, -15.572, -0.481, -3.000, -6.778
