is_onepiece, not_twin, dist_twin
     1,      1,  0.423
     1,      1,  0.319
     1,      1,  0.096
     1,      1,  0.321
     1,      1,  0.414
     1,      0,  0.001
     1,      1,  0.109
     1,      1,  0.325
     1,      1,  0.421
     1,      1,  0.303
     1,      1,  0.319
     1,      1,  0.253
     1,      1,  0.114
     0,      1,  0.353
     1,      1,  0.420
     0,      1,  0.409
     1,      1,  0.252
     0,      1,  0.504
     1,      1,  0.108
     1,      0,  0.001
     0,      1,  0.353
     1,      1,  0.375
     0,      1,  0.345
     0,      1,  0.139
     1,      1,  0.279
     1,      1,  0.336
     1,      1,  0.377
     1,      1,  0.271
     1,      1,  0.316
     0,      1,  0.319
     1,      1,  0.348
     1,      1,  0.097
     0,      1,  0.365
     1,      0,  0.001
     1,      1,  0.244
     1,      0,  0.001
     1,      1,  0.292
     0,      1,  0.296
     0,      1,  0.128
     0,      1,  0.128
     1,      1,  0.337
     0,      1,  0.323
     1,      0,  0.000
     1,      1,  0.230
     0,      1,  0.228
     0,      1,  0.243
     1,      0,  0.001
     1,      1,  0.124
     1,      1,  0.330
     0,      1,  0.250
     1,      1,  0.372
     1,      1,  0.216
     1,      1,  0.066
     1,      1,  0.206
     1,      1,  0.340
     1,      1,  0.528
     1,      1,  0.330
     1,      0,  0.001
     1,      1,  0.298
     1,      1,  0.445
     1,      1,  0.295
     1,      1,  0.394
     1,      1,  0.371
     1,      0,  0.001
     1,      1,  0.056
     1,      1,  0.327
     0,      1,  0.320
     1,      1,  0.208
     1,      1,  0.345
     1,      0,  0.000
     1,      1,  0.326
     1,      1,  0.353
     0,      1,  0.335
     1,      1,  0.203
     0,      1,  0.338
     1,      1,  0.383
     1,      1,  0.317
     1,      0,  0.000
     1,      1,  0.353
     1,      1,  0.214
     1,      1,  0.255
     1,      1,  0.300
     1,      1,  0.287
     1,      1,  0.311
     1,      1,  0.393
     1,      1,  0.065
     1,      1,  0.327
     1,      1,  0.202
     1,      1,  0.126
     1,      1,  0.365
     0,      1,  0.303
     1,      1,  0.326
     1,      1,  0.227
     1,      1,  0.417
     1,      1,  0.173
     1,      1,  0.257
     0,      1,  0.331
     1,      1,  0.397
     1,      1,  0.258
     1,      1,  0.179
     1,      1,  0.331
     1,      1,  0.451
     1,      1,  0.377
     1,      1,  0.294
     0,      1,  0.197
     1,      0,  0.000
     0,      1,  0.188
     0,      1,  0.127
     0,      1,  0.362
     1,      1,  0.419
     1,      1,  0.321
     1,      1,  0.337
     1,      1,  0.355
     1,      1,  0.170
     1,      1,  0.396
     1,      1,  0.337
     1,      1,  0.117
     1,      1,  0.343
     1,      0,  0.002
     1,      1,  0.356
     0,      1,  0.126
     1,      1,  0.479
     0,      1,  0.387
     1,      1,  0.181
     1,      0,  0.000
     1,      0,  0.000
     1,      1,  0.076
     1,      1,  0.353
     0,      1,  0.309
     1,      1,  0.228
     1,      1,  0.353
     1,      1,  0.371
     1,      1,  0.123
     1,      1,  0.309
     1,      0,  0.003
     0,      1,  0.427
     1,      0,  0.002
     1,      1,  0.325
     0,      1,  0.239
     1,      1,  0.368
     1,      1,  0.114
     1,      0,  0.002
     0,      1,  0.466
     0,      1,  0.339
     1,      1,  0.280
     1,      1,  0.242
     1,      0,  0.002
     1,      1,  0.271
     1,      1,  0.230
     1,      1,  0.174
     1,      0,  0.001
     1,      1,  0.123
     1,      1,  0.352
     1,      1,  0.254
     1,      1,  0.379
     1,      0,  0.001
     1,      1,  0.347
     1,      1,  0.251
     1,      1,  0.501
     1,      1,  0.267
     1,      1,  0.511
     1,      1,  0.270
     0,      1,  0.085
     1,      0,  0.000
     1,      1,  0.453
     1,      1,  0.244
     0,      1,  0.453
     0,      1,  0.385
     0,      1,  0.441
     1,      1,  0.509
     0,      1,  0.349
     1,      1,  0.280
     1,      1,  0.086
     1,      1,  0.266
     1,      1,  0.352
     0,      1,  0.175
     1,      0,  0.001
     0,      1,  0.149
     1,      1,  0.236
     1,      1,  0.255
     1,      1,  0.415
     1,      0,  0.001
     0,      1,  0.355
     1,      1,  0.073
     0,      1,  0.193
     0,      1,  0.287
     1,      1,  0.220
     1,      0,  0.002
     1,      0,  0.001
     0,      1,  0.112
     1,      1,  0.353
     0,      1,  0.201
     1,      1,  0.300
     1,      1,  0.314
     1,      1,  0.449
     1,      1,  0.464
     1,      1,  0.315
     1,      0,  0.001
     1,      1,  0.137
     0,      1,  0.227
     1,      1,  0.323
     1,      1,  0.334
     1,      0,  0.000
     1,      1,  0.252
     1,      1,  0.232
     1,      1,  0.373
     0,      1,  0.268
     1,      1,  0.125
     1,      1,  0.290
     1,      1,  0.054
     1,      0,  0.001
     1,      1,  0.466
     1,      1,  0.321
     1,      1,  0.251
     1,      0,  0.001
     0,      1,  0.260
     1,      1,  0.279
     1,      1,  0.346
     1,      1,  0.257
     1,      1,  0.247
     0,      1,  0.407
     1,      0,  0.000
     1,      0,  0.000
     0,      1,  0.443
     1,      1,  0.494
     1,      1,  0.232
     1,      1,  0.415
     1,      1,  0.106
     1,      1,  0.430
     1,      1,  0.512
     0,      1,  0.202
     1,      1,  0.343
     1,      1,  0.105
     1,      1,  0.187
     1,      1,  0.312
     0,      1,  0.421
     1,      1,  0.303
     0,      1,  0.172
     1,      1,  0.383
     1,      1,  0.353
     1,      0,  0.002
     1,      1,  0.305
     1,      1,  0.387
     1,      1,  0.487
     1,      1,  0.114
     1,      0,  0.000
     1,      1,  0.260
     1,      1,  0.318
     1,      0,  0.001
     1,      1,  0.319
     1,      1,  0.072
     1,      1,  0.308
     1,      1,  0.181
     0,      0,  0.000
     1,      1,  0.395
     1,      1,  0.141
     1,      1,  0.308
     1,      1,  0.183
     0,      1,  0.337
     1,      1,  0.230
     1,      1,  0.255
     1,      1,  0.380
     1,      1,  0.260
     1,      1,  0.132
     1,      1,  0.273
     1,      0,  0.000
     1,      1,  0.329
     1,      1,  0.390
     1,      1,  0.120
     0,      0,  0.001
     1,      0,  0.001
     0,      1,  0.400
     1,      1,  0.283
     1,      1,  0.156
     1,      1,  0.283
     0,      1,  0.353
     1,      1,  0.216
     0,      1,  0.369
     1,      0,  0.000
     1,      1,  0.247
     1,      0,  0.000
     1,      1,  0.340
     1,      1,  0.453
     0,      1,  0.163
     1,      1,  0.139
     1,      1,  0.360
     1,      1,  0.404
     1,      1,  0.366
     1,      1,  0.366
     0,      1,  0.384
     0,      1,  0.403
     0,      1,  0.338
     1,      1,  0.303
     1,      1,  0.219
     1,      1,  0.345
     1,      1,  0.280
     1,      1,  0.348
     0,      1,  0.283
     1,      1,  0.314
     1,      0,  0.001
     1,      1,  0.146
     1,      1,  0.180
     1,      1,  0.371
     1,      1,  0.383
     0,      1,  0.256
     1,      1,  0.272
     1,      1,  0.324
     1,      1,  0.243
     1,      1,  0.252
     1,      1,  0.353
     1,      0,  0.001
     0,      1,  0.352
     1,      1,  0.276
     0,      1,  0.494
     1,      1,  0.083
     1,      1,  0.278
     1,      1,  0.433
     1,      0,  0.001
     1,      1,  0.175
     1,      1,  0.112
     1,      1,  0.416
     1,      1,  0.471
     1,      1,  0.281
     0,      1,  0.353
     1,      1,  0.432
     1,      1,  0.289
     1,      1,  0.286
     1,      1,  0.351
     1,      1,  0.336
     1,      1,  0.254
     1,      1,  0.274
     1,      0,  0.003
     1,      1,  0.281
     1,      1,  0.335
     1,      1,  0.385
     0,      1,  0.353
     1,      0,  0.001
     1,      1,  0.231
     0,      1,  0.354
     0,      1,  0.275
     1,      1,  0.125
     0,      1,  0.348
     1,      0,  0.001
     1,      1,  0.340
     1,      1,  0.420
     1,      1,  0.114
     1,      0,  0.001
     1,      1,  0.173
     1,      0,  0.001
     1,      1,  0.198
     1,      1,  0.361
     1,      1,  0.271
     1,      1,  0.238
     0,      1,  0.343
     1,      1,  0.099
     1,      1,  0.398
     1,      0,  0.000
     1,      1,  0.373
     1,      1,  0.289
     1,      1,  0.400
     1,      1,  0.261
     1,      1,  0.314
     1,      1,  0.158
     1,      1,  0.318
     1,      1,  0.442
     1,      1,  0.402
     1,      1,  0.323
