,A_an4,fMs_an4,avg_FabsavgH_an4,C_an4,CnnC_an4,A_diff,fMs_diff,avg_FabsavgH_diff,C_diff,CnnC_diff,nnG_favg_diff,nnG_fmax_diff,da_len_w_an4_l,da_len_w_an4_r,da_len_w_an4_opp,da_len_w_diff_l,da_len_w_diff_r,da_len_w_diff_opp,rfvect_disttwin_an4
0,110.083,1.923,0.017,7.0,-0.4,4.766,1.547,0.325,-3.0,-2.1,-1.857,-9.0,152.786,121.502,85.712,-11.117,-2.039,13.156,0.423
1,603.052,20.749,0.034,6.0,-4.333,65.258,-2.069,-0.032,0.0,3.533,-0.6,-2.0,106.867,127.445,120.184,9.511,-26.134,0.907,0.319
2,300.189,8.257,0.028,3.0,-2.75,15.309,4.152,0.271,1.0,0.25,-0.25,1.0,89.502,129.292,133.71,1.127,15.225,-8.857,0.096
3,610.399,16.601,0.027,4.0,-3.125,-57.55,-2.802,0.049,-2.0,-6.125,-1.167,-9.0,120.642,147.915,100.673,12.712,-14.851,-7.091,0.321
4,182.763,20.186,0.11,11.0,4.438,-115.252,-9.741,0.085,-8.0,-6.771,-1.1,-9.0,115.396,106.136,138.583,5.505,22.783,-28.402,0.414
5,14040.193,865.292,0.062,8.0,2.071,-3172.017,-232.524,0.073,7.0,6.883,-0.333,3.0,111.813,121.379,133.712,6.374,-8.095,2.496,0.001
6,219.055,6.957,0.032,7.0,0.9,-171.798,-2.765,0.016,-4.0,-4.733,-1.857,-9.0,127.96,121.854,105.587,1.496,5.395,-2.291,0.109
7,194.434,8.625,0.044,5.0,-1.875,93.124,12.919,0.139,0.0,-0.725,-0.167,3.0,124.339,132.092,100.543,-7.506,-23.752,29.66,0.325
8,985.132,76.418,0.078,8.0,1.25,-128.946,-52.559,0.408,-2.0,-2.55,-0.25,3.0,108.481,120.083,126.059,-1.74,11.305,-8.308,0.421
9,1889.68,49.693,0.026,3.0,-4.5,-72.637,-4.24,0.058,4.0,4.929,0.2,3.0,112.855,120.937,127.385,0.508,-15.041,4.91,0.303
10,1115.482,54.11,0.049,6.0,0.25,-155.89,-22.923,0.147,3.0,2.0,-1.375,-9.0,130.883,132.728,106.245,-8.848,6.351,4.706,0.319
11,1324.055,44.378,0.034,5.0,-0.1,-69.103,26.819,-0.388,1.0,-1.5,-1.0,-9.0,136.389,114.84,109.221,-15.047,-26.987,5.713,0.253
12,179.947,35.357,0.196,8.0,1.929,-88.551,-32.173,0.363,-5.0,-4.762,-1.667,-5.0,116.442,99.655,143.904,21.605,-31.857,-0.412,0.114
13,2114.93,154.704,0.073,6.0,-1.1,-677.286,-91.941,0.136,0.0,-1.9,-1.714,-5.0,91.417,114.766,124.998,19.822,16.336,-7.293,0.353
14,4338.823,91.297,0.021,5.0,-2.625,-10.073,-3.461,0.344,5.0,6.925,-1.667,-4.0,90.646,125.91,119.989,14.252,8.286,-8.394,0.42
15,77.949,3.158,0.041,6.0,0.875,-60.809,-2.025,0.033,-2.0,-5.625,-1.667,-4.0,145.285,104.267,110.448,-25.178,43.437,-18.258,0.409
16,254.948,12.904,0.051,8.0,1.857,-68.682,-5.794,0.084,-5.0,-8.69,-1.222,-4.0,103.045,108.395,148.557,0.843,13.761,-14.601,0.252
17,129.528,10.621,0.082,9.0,3.889,-82.922,0.814,-0.01,-5.0,-6.764,-1.545,-5.0,130.461,126.151,104.458,3.214,6.129,-0.269,0.504
18,784.312,25.979,0.033,5.0,-1.5,-97.989,0.947,-0.01,3.0,3.75,-0.833,-4.0,119.57,117.034,119.086,-5.684,17.012,-7.019,0.108
19,1318.857,121.794,0.092,17.0,10.429,15.37,-37.86,-2.463,-7.0,-6.804,-1.812,-17.0,115.079,105.133,139.423,-10.346,9.993,0.718,0.001
20,216.507,5.221,0.024,7.0,-0.857,-36.951,1.18,-0.032,-3.0,-2.018,-0.667,-4.0,117.939,134.823,106.698,-12.418,4.631,17.52,0.353
21,26.73,1.64,0.061,4.0,-3.5,-15.924,-0.054,0.003,0.0,2.0,-0.333,-4.0,111.322,107.62,141.283,-0.648,15.065,-16.916,0.375
22,149.315,7.019,0.047,7.0,-2.167,38.274,22.179,0.579,-2.0,2.667,-2.0,-6.0,138.333,121.525,101.673,-18.41,-28.342,43.305,0.345
23,125.501,0.0,0.0,1.0,-6.5,45.294,4.816,0.106,3.0,3.625,-1.75,-4.0,149.579,82.477,123.62,-11.447,30.363,-14.16,0.139
24,93.812,8.176,0.087,4.0,-4.375,-30.753,-3.934,0.128,0.0,0.875,-0.833,-4.0,112.816,111.188,135.997,19.983,-21.901,1.918,0.279
25,341.163,29.968,0.088,9.0,0.667,-86.89,-17.861,0.206,-5.0,-2.167,-1.0,-6.0,117.082,141.093,108.243,-17.858,-8.874,11.071,0.336
26,112.296,5.544,0.049,5.0,-2.625,-71.354,-2.275,0.032,0.0,2.425,-0.333,-4.0,118.96,112.525,113.512,16.02,26.932,-22.472,0.377
27,173.433,6.458,0.037,5.0,-6.0,-129.053,-6.458,0.05,-1.0,3.875,-1.75,-4.0,130.063,113.01,116.926,15.124,0.914,-16.038,0.271
28,547.011,22.361,0.041,2.0,-6.0,-227.226,-7.791,0.034,4.0,6.5,-1.0,-4.0,125.581,123.636,115.233,-8.65,3.387,3.936,0.316
29,1007.069,34.234,0.034,6.0,-1.167,-164.738,-5.326,0.032,0.0,1.367,-3.25,-17.0,109.201,124.603,126.196,7.334,-10.169,2.946,0.319
30,232.43,7.553,0.032,14.0,6.6,-59.34,-0.319,0.005,-11.0,-9.1,-0.583,-4.0,130.884,114.389,110.355,-15.548,1.801,16.477,0.348
31,535.141,21.903,0.041,4.0,-5.667,-506.036,-21.903,0.043,-1.0,2.0,-1.6,-6.0,116.087,108.048,130.414,17.331,-10.826,-1.054,0.097
32,67.769,20.217,0.298,4.0,-2.25,94.134,-9.355,-0.099,2.0,-1.25,-0.167,-4.0,91.393,116.447,140.009,12.266,15.168,-15.282,0.365
33,1095.197,50.275,0.046,7.0,-3.833,152.133,5.909,0.039,-2.0,2.333,-1.4,-4.0,130.853,105.326,124.902,1.667,-10.864,8.116,0.001
34,486.244,25.906,0.053,7.0,-1.417,-11.224,-8.262,0.736,2.0,0.817,0.375,7.0,134.418,110.426,114.535,-5.927,6.236,0.312,0.244
35,3016.985,121.098,0.04,7.0,-1.875,-357.096,-57.144,0.16,4.0,5.518,-4.667,-17.0,136.598,110.031,125.501,-10.094,-4.203,2.165,0.001
36,115.045,11.76,0.102,8.0,-0.643,-13.894,0.765,-0.055,-3.0,-1.732,-1.444,-17.0,109.597,117.66,115.653,7.978,-11.861,13.966,0.292
37,1438.954,55.629,0.039,15.0,8.333,-291.1,-15.744,0.054,-5.0,-5.0,-1.786,-6.0,125.751,127.035,103.155,-8.0,-5.022,7.732,0.296
38,1099.681,43.107,0.039,9.0,2.0,-177.41,-7.89,0.044,4.0,3.5,-1.0,-6.0,123.983,142.847,97.665,3.52,-23.48,-8.742,0.128
39,366.891,9.81,0.027,8.0,0.0,126.949,13.534,0.107,-1.0,-0.167,-1.111,-4.0,115.602,145.572,100.972,-11.697,-16.206,21.068,0.128
40,718.826,42.699,0.059,7.0,0.714,100.463,0.884,0.009,3.0,0.086,-1.889,7.0,120.925,123.672,109.839,-19.959,11.29,11.428,0.337
41,1753.79,51.171,0.029,4.0,-4.75,-160.311,7.903,-0.049,6.0,6.694,-3.167,-17.0,122.921,123.624,108.966,18.246,-0.529,-19.639,0.323
42,732.21,60.569,0.083,12.0,4.95,-172.286,-2.467,0.014,-6.0,-4.2,-4.167,-17.0,111.646,93.241,132.169,23.134,-15.027,16.862,0.0
43,84.436,15.202,0.18,8.0,-2.0,1.887,6.758,3.581,-2.0,-0.5,-2.0,-10.0,109.869,125.551,116.895,17.914,-6.31,-3.914,0.23
44,177.124,40.626,0.229,6.0,-0.333,-154.624,-40.626,0.263,-2.0,-1.917,-0.125,7.0,115.638,128.333,118.835,57.634,-6.477,-53.963,0.228
45,184.087,8.78,0.048,12.0,4.333,59.812,10.954,0.183,-8.0,-7.833,-3.545,-17.0,125.478,111.098,134.232,-0.657,-15.503,5.352,0.243
46,2332.196,136.72,0.059,6.0,-1.5,372.459,45.198,0.121,10.0,10.65,-0.375,7.0,110.698,105.747,139.527,-10.538,5.256,9.309,0.001
47,56.793,3.326,0.059,6.0,-4.0,-37.643,-1.947,0.052,0.0,0.833,-3.333,-17.0,136.642,124.173,125.901,-15.557,11.821,-22.979,0.124
48,112.157,23.145,0.206,8.0,-0.8,-11.542,-9.564,0.829,-4.0,-1.825,-2.571,-6.0,108.205,123.995,116.881,0.375,-11.732,25.163,0.33
49,39.16,0.0,0.0,5.0,-2.0,99.993,3.319,0.033,6.0,3.25,-1.286,-6.0,128.769,115.82,115.411,-4.101,20.423,-16.323,0.25
50,172.589,27.916,0.162,8.0,1.714,-26.678,-10.828,0.406,-2.0,-2.014,-2.444,-7.0,115.329,106.036,136.976,2.172,14.505,-15.018,0.372
51,1235.059,105.83,0.086,3.0,-1.667,-67.327,-63.965,0.95,13.0,10.611,-1.0,-3.0,116.624,117.298,123.474,-1.935,-2.913,7.451,0.216
52,1238.333,53.711,0.043,7.0,1.8,4.767,-18.126,-3.802,-2.0,-1.2,-2.714,-6.0,123.599,118.362,125.103,-22.878,4.444,11.37,0.066
53,529.946,15.779,0.03,3.0,-4.5,-75.571,3.202,-0.042,2.0,4.6,-1.8,-3.0,131.97,100.1,126.932,-20.509,24.98,-3.089,0.206
54,1012.377,19.91,0.02,3.0,-1.833,-142.917,-6.889,0.048,2.0,1.208,-0.6,-3.0,91.622,152.241,116.84,4.97,2.392,-6.471,0.34
55,697.188,34.142,0.049,3.0,-1.833,-45.104,60.769,-1.347,1.0,-0.667,-0.6,-3.0,94.23,135.217,117.189,19.668,-14.491,17.738,0.528
56,170.234,9.418,0.055,3.0,-1.333,-99.544,-5.973,0.06,1.0,-0.667,-0.6,-3.0,152.396,143.0,100.436,-26.409,-11.622,8.627,0.33
57,1490.766,40.972,0.027,3.0,-2.333,-320.944,-4.918,0.015,2.0,1.458,-0.6,-3.0,121.492,112.242,133.302,-24.541,-6.28,12.892,0.001
58,1535.289,47.342,0.031,3.0,-5.667,-249.047,-7.457,0.03,3.0,5.967,-1.2,-3.0,113.543,116.815,122.369,1.06,21.662,-15.45,0.298
59,319.088,8.591,0.027,8.0,2.0,-7.839,10.917,-1.393,-3.0,-4.5,-2.444,-8.0,117.539,127.523,115.228,5.663,-9.521,3.569,0.445
60,41.81,4.967,0.119,3.0,-5.0,65.286,3.566,0.055,0.0,0.25,-1.2,-6.0,129.06,121.471,108.559,3.51,9.033,-10.676,0.295
61,264.814,10.362,0.039,5.0,-3.1,-79.88,0.41,-0.005,-4.0,-3.4,-1.429,-3.0,126.806,141.041,92.149,-28.641,10.083,18.561,0.394
62,711.878,46.178,0.065,10.0,1.938,126.7,-11.237,-0.089,0.0,0.991,-2.3,-8.0,118.089,157.241,108.825,-13.272,-23.974,13.092,0.371
63,1520.055,52.557,0.035,3.0,-3.0,-61.712,-7.107,0.115,0.0,-2.0,-0.2,-1.0,108.85,117.718,128.228,9.14,-2.442,-5.871,0.001
64,515.376,21.439,0.042,3.0,-6.0,18.5,13.839,0.748,5.0,8.071,-1.2,-3.0,128.795,122.796,117.826,-10.27,0.264,10.301,0.056
65,61.018,6.923,0.113,6.0,-3.833,-22.666,0.655,-0.029,-3.0,-4.0,-3.2,-8.0,142.338,105.955,125.56,-18.924,17.703,-13.069,0.327
66,222.703,7.905,0.035,9.0,3.278,14.159,1.093,0.077,-3.0,-6.778,-1.182,-6.0,104.627,160.802,103.97,24.422,-15.68,-14.161,0.32
67,345.424,10.499,0.03,4.0,-1.875,13.589,-1.906,-0.14,2.0,0.458,-1.167,-3.0,119.197,118.881,115.022,6.234,14.441,-8.205,0.208
68,69.561,5.798,0.083,3.0,-5.833,-8.582,-2.775,0.323,0.0,1.0,-1.6,-6.0,132.207,106.991,120.801,-2.53,9.871,9.643,0.345
69,2410.275,86.693,0.036,4.0,-2.25,1367.754,50.276,0.037,8.0,8.4,0.667,4.0,110.112,113.869,134.324,2.085,-0.266,4.896,0.0
70,313.538,35.291,0.113,6.0,-1.0,59.748,-12.871,-0.215,-2.0,-2.0,0.125,4.0,122.453,105.089,113.867,-8.104,11.72,14.975,0.326
71,697.026,45.723,0.066,6.0,-0.833,-68.845,-25.441,0.37,1.0,-1.167,-0.125,4.0,125.251,117.02,117.729,-11.76,16.005,-4.245,0.353
72,947.344,22.488,0.024,6.0,0.083,132.736,1.035,0.008,2.0,1.833,0.25,4.0,128.505,123.805,110.229,-21.44,11.613,8.48,0.335
73,23.73,0.0,0.0,5.0,0.2,-6.7,6.572,-0.981,-1.0,-6.2,-0.714,-3.0,159.655,112.549,87.797,-36.402,-22.242,58.643,0.203
74,223.417,23.106,0.103,3.0,-4.167,-81.868,-19.783,0.242,1.0,1.667,0.2,4.0,132.893,114.077,113.03,-5.413,6.662,-5.321,0.338
75,742.46,26.056,0.035,5.0,-1.0,39.577,0.616,0.016,2.0,1.714,0.333,4.0,109.914,123.574,114.222,-1.792,15.608,0.508,0.383
76,144.807,6.221,0.043,6.0,0.75,-99.892,-1.274,0.013,-2.0,-2.5,-0.25,-3.0,152.267,110.104,97.629,-26.161,38.698,6.467,0.317
77,3717.634,173.9,0.047,4.0,-1.0,-292.11,1.544,-0.005,6.0,4.0,0.667,4.0,124.197,118.185,130.325,-10.895,-4.256,2.444,0.0
78,93.961,19.444,0.207,4.0,-2.125,-89.217,-19.444,0.218,1.0,-1.375,0.833,4.0,130.126,121.458,130.172,10.082,-42.875,9.785,0.353
79,117.595,5.186,0.044,6.0,-0.167,-46.466,3.565,-0.077,-3.0,-2.333,-0.25,4.0,118.781,98.405,146.207,-5.772,-9.361,-13.461,0.214
80,102.169,8.848,0.087,3.0,-2.833,47.945,-2.514,-0.052,0.0,-4.0,-0.4,-2.0,120.084,144.256,94.156,2.641,-9.464,8.327,0.255
81,1047.277,36.875,0.035,10.0,4.111,-69.54,14.916,-0.214,-7.0,-10.111,-0.091,4.0,89.801,148.901,130.406,36.123,-36.362,-14.763,0.3
82,1240.888,42.828,0.035,6.0,-0.2,-141.106,19.587,-0.139,3.0,2.033,0.429,2.0,102.472,129.016,112.079,14.66,-2.621,2.84,0.287
83,418.149,16.728,0.04,1.0,-3.0,-12.514,-3.509,0.28,6.0,2.875,-0.25,1.0,125.607,128.7,123.92,-16.069,-5.732,7.123,0.311
84,104.944,8.133,0.078,1.0,-3.5,-38.139,-2.973,0.078,3.0,0.25,0.8,5.0,113.273,139.822,105.159,-0.304,-0.998,3.048,0.393
85,646.748,15.425,0.024,1.0,-2.25,-249.531,-7.577,0.03,4.0,1.35,-0.25,1.0,98.446,127.687,122.461,9.424,-12.669,14.651,0.065
86,92.422,8.369,0.091,0.0,-5.5,-33.41,-1.912,0.057,4.0,4.0,2.0,5.0,126.799,114.562,118.444,-22.948,18.087,5.056,0.327
87,179.646,9.082,0.051,10.0,1.5,5.547,2.277,0.41,-6.0,-5.167,-1.333,-7.0,134.87,110.229,117.27,-12.886,15.965,-3.694,0.202
88,1959.23,91.614,0.047,4.0,-2.833,-292.793,48.64,-0.166,4.0,5.119,-3.0,-7.0,109.875,106.318,139.772,10.759,6.368,-11.97,0.126
89,204.092,6.984,0.034,8.0,-0.25,-102.033,-0.689,0.007,-4.0,-1.125,-2.0,-7.0,99.086,133.225,131.033,3.766,-5.166,-8.49,0.365
90,520.136,21.705,0.042,5.0,-1.75,-309.195,-14.997,0.049,1.0,1.75,-2.0,-7.0,125.828,117.742,106.415,15.256,17.369,-13.496,0.303
91,486.442,8.601,0.018,4.0,-5.0,-214.409,-1.742,0.008,0.0,3.625,-1.5,-7.0,139.922,129.323,107.71,3.938,-22.367,2.401,0.326
92,32.627,2.684,0.082,8.0,0.4,-11.251,1.818,-0.162,-4.0,-1.65,-2.429,-19.0,115.899,119.741,119.293,-14.356,15.513,7.529,0.227
93,447.781,23.701,0.053,9.0,2.214,73.361,16.625,0.227,-2.0,-0.214,-0.778,-6.0,106.0,131.011,126.442,2.945,0.829,13.476,0.417
94,189.752,24.689,0.13,1.0,-5.0,-81.696,-16.006,0.196,4.0,4.9,0.333,1.0,112.518,112.842,134.64,38.366,-0.2,-38.166,0.173
95,2068.735,66.714,0.032,3.0,-3.333,89.401,-1.355,-0.015,4.0,3.667,-0.4,-2.0,111.654,137.127,115.345,6.74,-15.014,4.148,0.257
96,23.893,3.875,0.162,4.0,-5.5,112.878,3.655,0.032,0.0,1.0,-3.5,-19.0,136.598,133.066,90.336,-4.315,-0.914,5.229,0.331
97,196.805,7.924,0.04,6.0,0.375,41.482,5.413,0.13,-3.0,-3.875,-2.333,-7.0,139.503,124.454,96.043,-18.955,2.24,16.715,0.397
98,2618.725,54.547,0.021,6.0,0.75,324.323,13.907,0.043,5.0,4.083,-1.75,-7.0,135.039,118.541,107.704,-6.036,4.772,2.618,0.258
99,248.876,35.587,0.143,3.0,-3.333,21.604,-24.547,-1.136,3.0,0.667,-1.8,-7.0,127.931,101.012,124.888,4.547,8.706,-7.084,0.179
100,896.754,32.363,0.036,7.0,1.6,46.825,-6.938,-0.148,-1.0,-5.2,-1.286,-7.0,137.162,112.982,111.658,-13.359,16.752,-5.195,0.331
101,616.732,29.843,0.048,3.0,-2.667,47.726,18.625,0.39,2.0,1.417,-1.4,-7.0,130.255,94.055,135.69,-4.391,0.654,0.871,0.451
102,2467.24,64.909,0.026,7.0,1.0,-88.769,-14.408,0.162,2.0,0.286,-2.0,-7.0,132.069,108.978,114.782,-7.871,20.936,-0.381,0.377
103,577.775,10.728,0.019,6.0,0.3,-113.384,0.336,-0.003,0.0,-2.675,-0.429,-3.0,115.273,127.06,117.667,4.851,-7.858,-5.834,0.294
104,23.758,4.022,0.169,5.0,-1.4,-10.931,-4.022,0.368,-1.0,-4.35,-2.429,-7.0,118.817,104.765,136.217,-9.022,-19.888,-3.933,0.197
105,1151.728,40.347,0.035,9.0,1.625,-293.848,2.345,-0.008,-3.0,-0.875,-3.8,-17.0,137.013,82.889,136.798,-20.116,18.866,6.773,0.0
