move_left ,gV_diff_an4, gF_diff_an4 ,gFnnF_diff_an4, gMs_diff_an4, fMs_an4_left, FnnF_A_maxdec, FnnF_A_avgdec, FnnF_fMs_maxdec, FnnF_fMs_avgdec
    -1, -8.644, -5.000, -6.571, -13.226, -1.079, 1326.814, 358.384, 487.129, 106.307 
     1, 14.956,  6.000,  1.111, 10.424,  3.774, 1470.704, 76.892, 808.523, 212.836 
     1,  7.437,  4.000, -0.688, -27.456,  1.785, -64.996, -325.190, 824.775, 231.289 
    -1, -6.861, 11.000, 16.019, -66.760, -4.098, 4349.495, 1616.294, 183.751, 66.056 
    -1, -55.957, -13.000, -10.422, -184.926, -15.388, -393.483, -463.613, -8.474, 46.957 
    -1,  8.690, 14.000, 16.872, -308.074, -170.347, -3221.549, -393.669, 16.593, 12.598 
    -1, -28.738, -6.000, -4.056, -187.988, -0.461, 4192.791, 1019.473, 468.341, 178.371 
     1,  0.352, 14.000, 19.153, 91.336,  1.903, 4872.813, 1012.262, 1096.726, 305.278 
     1, 11.403,  7.000,  8.978, 17.901, 16.920, 4197.286, 624.546, 485.881, -0.554 
     0, -9.714,  3.000,  6.825, -131.165, -10.755, 4875.094, 1125.177, 468.341, -16.733 
     1, 10.716, 12.000, 15.878, 37.595, 12.703, 5051.466, 854.556, 183.751, 134.605 
     0, 76.565, 27.000, 34.289, 496.003,  8.897, 4873.445, 1440.346, 708.856, 223.685 
     0, -65.486, -13.000, -14.622, -153.497, -3.762, 5224.382, 1766.754, 1104.885, 432.726 
    -1, 41.108, 26.000, 28.846, 627.887, 48.604, 1122.655, 512.899, 742.775, 33.286 
     1,  8.029,  7.000, 15.578, 25.260, -17.001, 3508.168, 794.065, 816.724, 75.772 
     1, -30.091, -8.000, -9.122, -478.948,  1.813, -147.360, -17.137, -324.679, -197.260 
     0, -19.315, -3.000,  0.311, -195.489,  3.276, 4805.499, 1805.885, 485.881, 380.894 
     0, -43.097, -6.000, -2.056, -161.852, -1.553, 5020.140, 1306.366, 1149.234, 419.818 
     1, -39.254, -7.000, -3.404, -157.005, -3.584, 5020.140, 811.985, 1142.383, 342.327 
     1, -2.451,  0.000, -3.077, 78.004, 25.565, 876.709, 113.570, -321.298, -57.115 
     1, -9.452,  1.000, -2.516, 52.150, -1.883, 463.743, 142.050, 188.458, -53.903 
     0, -31.007, -6.000, -9.659, 77.112,  1.523, 864.001, 172.283, 188.458, -52.486 
    -1, -28.190, -6.000, -6.659, 49.961, -0.943, 846.506, 45.205, 393.766, 75.301 
     1, -1.385,  2.000,  1.169, 101.170,  0.000,  3.168, -160.791, -412.310, -199.910 
     1, -4.501,  4.000,  5.299, 86.436,  3.561, 59.036, -42.203, 256.234, 140.616 
     1,  5.375,  8.000,  8.188, 27.289,  2.560, 254.393,  2.310, 32.409, 28.136 
     1, -10.104,  0.000, -4.917, -45.531, -4.626, 475.504, 48.548, 504.046, 99.350 
     0, -17.848, -4.000, -10.250, -38.596, -2.853, 469.168, 163.440, 499.148, 274.530 
     1,  1.191,  6.000,  4.472, -34.357, -5.440, 382.367, 380.093, 522.573, 174.462 
     1, 65.093, 22.000, 20.216, 130.319,  2.478, -1754.784, -188.563, -1053.627, -191.887 
     1, -12.150, -6.000, -11.667, -22.207, -2.652, 280.999, 151.235, -14.374, -1.210 
    -1, 28.473,  6.000,  3.333, -56.924, -8.170, -2932.596, -666.319, -345.038, -81.622 
     1, -17.410, -14.000, -17.411, -91.453,  2.605, -285.461, -72.026, -30.575, -31.175 
    -1, -31.769, -22.000, -33.773, -137.568, -15.235, -333.812, -29.778, 206.889, 63.871 
     0, -23.644, -17.000, -27.928, -126.386, -3.724, 53.118, 80.416, 198.028, 196.182 
     1, -11.020, -20.000, -22.011, -163.189,  8.448, 194.013, 270.027, 271.419, 134.739 
     0, -24.771, -17.000, -28.095, -186.414, -2.693, 76.748, -9.432, -22.631, -20.068 
    -1, 12.011, -6.000, -9.693, -32.580, -3.404, -1906.417, -411.207, -129.869, -12.239 
     1, -1.466, -5.000, -3.886, -58.842, -7.104, 485.887, 259.528, 227.026, 81.742 
     1, -1.246, -10.000, -12.661, -36.416,  0.792, -1548.160, -158.954, 312.779, 59.137 
     1, 19.715, -7.000, -10.618, 17.781,  4.163, 466.260, 316.430, 401.950, 128.053 
     0, 97.172, 61.000, 63.177, 1273.564,  8.117, -6760.391, -689.684, -1232.321, -155.586 
     1, -39.500, -23.000, -28.178, -136.592, -23.242, -83.123, 46.769, 231.257, 77.252 
     1, -28.249, -22.000, -23.631, -138.390, -4.549, 94.966, 258.989, 476.913, 343.493 
    -1, 73.127, 14.000, 15.167, 286.391, 24.102, -408.241, -82.101, 14.135,  2.423 
     1, -42.532, -24.000, -27.545, -121.929, -4.684, 368.441, 175.524, -203.795, -69.409 
     0, -22.162, -18.000, -23.708, -195.107, -57.724, 443.855, 79.357, 285.104, 98.821 
     0, -27.082, -19.000, -25.545, -150.071,  0.522, -430.267, -1.947, -108.260, -13.069 
     1, -34.631, -20.000, -30.123, -168.007, 10.574, -296.656, -63.488, 56.117, 34.516 
     1, 15.729,  2.000, -1.700, 194.301,  0.000, -296.656, 130.708, -26.234, 16.815 
     1, -40.835, -22.000, -25.488, -104.096,  7.294, 510.083, 277.340, 101.543, 43.574 
    -1, -22.986, -14.000, -18.278, -94.323, -2.837, -492.699, -28.830, -14.643, -15.693 
     1, -1.867, -1.000,  4.464, -47.849, -11.649, -72.115, -53.219, -271.795, -163.417 
     1,  0.088,  0.000,  3.250, -38.450,  2.867, -191.599, -57.952, -36.815, -36.772 
     1, 181.090, 54.000, 70.040, 2111.651, -1.740, 231.356, 479.339, -287.231, -119.209 
     1, 79.245, 36.000, 47.818, 816.806, 18.534, -72.115, 359.982, -818.347, -245.657 
     1, 44.063, 11.000, 20.066, -35.392,  3.744, -191.599, 49.811, -818.347, -439.214 
     0, 20.993,  7.000, 13.617, -23.556,  7.978, -112.358, -28.179, -428.802, -146.513 
     1, 181.053, 77.000, 93.244, 2332.212, 32.296, 112.163, 265.407, -464.426, -208.213 
     0, 28.805, 14.000, 14.241, 259.960, -0.018, 1610.334, 296.959, -192.330, -93.590 
     0,  1.973, -2.000,  0.077, -112.422, -3.546, -364.602, -173.649, -521.372, -302.263 
     1, 36.908,  7.000,  6.273, 31.006,  9.571, 1271.656, 94.107, 336.025, 110.628 
     0, -3.407,  0.000,  3.667, -53.917, -32.795, 1160.120, 195.929, 43.155, 89.466 
    -1, 17.098,  5.000,  1.750, -32.446,  8.864, 1266.130, 173.456, 345.495, -2.534 
    -1, -20.542, -6.000, -6.667, -19.510, -8.671, 1917.748, 242.521, 1037.510, 269.098 
     1, -6.826,  7.000,  8.364, 65.009,  2.269, -74.848, 96.990, 845.896, 309.377 
     1, 70.005, 27.000, 31.095, 605.719,  0.002, -314.300, -245.421, 783.880, 192.882 
     1, 54.409, 23.000, 25.026, 155.904, -2.057, 101.208, -140.546, 706.618, 99.683 
     1, -11.262, -5.000, -4.000, -7.688, -0.039, 1553.984, 300.496, 470.463, 140.534 
     0,  7.709, -4.000, -9.727, -38.637,  2.922, 65.932, 366.170, 489.677, 99.309 
     0, -5.397, -3.000, -1.333, -12.767, 11.639, 1419.272, 92.111, 467.157, 95.367 
     0, 15.775,  4.000,  5.421, 60.267, -11.646, -119.764, -128.410, -518.828, -117.386 
     0, 54.520, 15.000, 13.260, 71.812,  4.370, -355.691, -2.094, -77.984, 22.015 
    -1, 93.489, 22.000, 21.037, 385.975,  0.000, -355.691, -137.269, -31.223, 639.127 
    -1, 55.344, 18.000, 16.007, 113.071, -3.532, -3028.653, -667.565, -998.457, -254.147 
    -1, 29.665,  3.000, -1.901, 16.828, 13.853, -161.726, -13.096, 51.244, -0.877 
    -1, -21.898, -10.000, -15.875, -39.455,  1.746, -126.563, -59.421, 151.876, 71.647 
    -1, 47.813, 13.000, 22.975, 268.731, 119.247, -275.337, 10.025, -412.607, -75.895 
    -1,  5.498,  0.000,  0.222, 68.926,  5.255, 694.447, 112.921, 278.677, 43.396 
     1, -25.152, -4.000,  5.511, 131.013, -2.612, 1137.744, 323.478, 382.417, 77.396 
     1, 132.383, 49.000, 67.646, 1227.394, -3.111, 1275.535, 1480.867, -2410.764, -899.180 
     1, 199.680, 86.000, 104.974, 2294.841, 26.567, 1179.526, 1263.509, -2410.764, -988.989 
     1, 39.163, 13.000, 23.293, 174.941, 10.577, 1186.339, 378.672, -27.362, -34.860 
     0, 35.729, 11.000, 25.611, 155.339, -8.421, -47.133, 34.636, -230.059, -54.093 
     1, 34.032, 12.000, 29.730, 156.868,  0.926, 990.770, 418.410, -36.493, -139.764 
     1, 10.787,  3.000,  4.195, 105.864,  3.281, 116.105, -38.442, -80.799, 64.055 
     1, -14.600, -4.000, -12.377, -54.893, -4.110, 46.541, 80.039, -104.410, -97.589 
     1, 91.636, 43.000, 49.465, 797.020,  1.533, 495.970, 125.598, -458.303, -175.149 
     1, 111.718, 39.000, 41.149, 701.704, 70.138, -325.902, 157.185, -386.257, -124.574 
     1, 10.360, -2.000, -1.535, 36.444,  1.687, 360.029, 809.605, 22.828, 17.547 
     1, 13.157,  5.000,  7.909, 127.433, -4.031, 548.131, 289.650, -54.528, -35.114 
     1, 33.286,  1.000,  4.576, 48.423,  1.424, 344.558, 956.412, -54.528, 11.011 
     1, 35.671, 18.000, 21.323, 304.071,  1.037, -395.466, -221.115, -570.286, -304.518 
     1, -11.737, -5.000, -8.424, 13.945, -4.171, 197.042, 151.889, 18.522, 21.879 
     1, 11.736,  5.000, 11.222, 32.052, -6.867, 297.818, 228.733, -84.257, 26.306 
    -1, -4.498, -12.000, -10.144, -147.205, -32.813, -363.161, -84.324, -644.219, -353.393 
    -1, -31.978, -14.000, -11.762, -79.137,  2.621, 259.823, -25.903, 25.289, 37.553 
    -1, -58.553, -24.000, -20.867, -193.967,  2.627, -191.826, -153.000, 15.440, 56.905 
    -1, -3.568,  2.000,  3.394, -286.866,  2.195, -4812.554, -834.287, -739.403, -44.935 
    -1, -56.708, -23.000, -31.271, -251.625,  6.168, -1684.798, -487.200, -412.592, -57.522 
     0, -12.460, -3.000, -2.107, -30.531,  6.301, -1676.271, -373.419, -756.774, -107.311 
    -1, -67.117, -24.000, -36.200, -167.234,  4.105, -158.145, -165.077, -524.187, -260.442 
     1, -0.855, -5.000, -4.500, 39.109,  4.999, -244.505, -90.336, -860.058, -158.880 
    -1, 88.234, 14.000, 21.482, 1159.446, -3.809, -127.512, 157.223, -415.071, -508.792 
     0, -6.569, -8.000, -6.291, -20.965,  3.741, -791.405, -330.456, 137.211, 138.461 
    -1, -64.873, -21.000, -20.811, -127.355, -24.292, -69.110, -185.148, 110.951, 42.828 
     0, 64.308, 15.000, 20.811, 517.211,  3.383, -6062.985, -496.489, -272.298, -126.894 
     1, 28.851, 14.000, 15.368, 649.095, -3.265, -3689.899, -932.520, -238.379, -207.518 
     0, -53.143, -17.000, -16.008, -129.776,  0.462, 17.819, -123.720, 313.696, 76.983 
