da_len_w_an4_l, da_len_w_an4_r, da_len_w_an4_opp, da_num_w_an4_l, da_num_w_an4_r, da_num_w_an4_opp, A_an4, fMs_an4, avg_FabsavgH_an4, C_an4, CnnC_an4, da_len_w_diff_l, da_len_w_diff_r, da_len_w_diff_opp, da_num_w_diff_l, da_num_w_diff_r, da_num_w_diff_opp, A_diff, fMs_diff, avg_FabsavgH_diff, C_diff, CnnC_diff
152.786, 121.502, 85.712, 151.881, 115.764, 92.356, 119.766,  2.857,  0.024,  7.000, -0.400, -15.269,  1.292, 13.976, -17.071,  7.451,  9.620, -9.178, -0.162,  0.018, -3.000, -2.100
106.867, 127.445, 120.184, 116.210, 128.177, 115.611, 640.941, 28.698,  0.045,  6.000, -4.333, -2.658, -20.702,  8.610,  0.116, -9.992,  9.878,  4.990, 44.074,  8.832,  0.000,  3.533
89.502, 129.292, 133.710, 100.322, 131.027, 128.650, 314.685,  8.437,  0.027,  3.000, -4.167, -3.372, 10.271,  0.598,  0.879, -3.353,  2.475, -28.952, -4.128,  0.143,  1.000,  1.667
120.642, 147.915, 100.673, 111.746, 147.624, 100.629, 622.160, 24.919,  0.040,  4.000, -3.125, 11.173, -8.631, -11.772, 18.854, -13.024, -5.830, 19.548, -19.049, -0.974, -2.000, -6.125
115.396, 106.136, 138.583, 115.810, 107.572, 136.618, 196.775, 32.469,  0.165, 11.000,  4.438, 18.722, -25.575,  6.739,  8.214, -8.287,  0.073, -148.225, -23.246,  0.157, -8.000, -6.771
111.813, 121.379, 133.712, 113.684, 112.658, 133.658, 14580.769, 1324.967,  0.091,  8.000,  2.071,  4.789, -25.952, 13.411,  6.884, -17.628, 10.745, -5313.055, -888.817,  0.167,  7.000,  6.883
127.960, 121.854, 105.587, 126.001, 122.071, 111.928, 220.116,  7.177,  0.033,  7.000,  0.583,  9.410, -5.871,  1.061, 13.447, -11.384, -2.062, -180.920, -5.588,  0.031, -4.000, -4.417
124.339, 132.092, 100.543, 118.569, 131.668, 109.763, 219.021, 100.255,  0.458,  5.000, -1.875, 15.009, -49.815, -6.466, 23.028, -29.670,  6.642, 53.235, -80.203, -1.507,  0.000, -1.025
108.481, 120.083, 126.059, 113.608, 118.365, 128.028, 1122.587, 126.059,  0.112,  8.000,  1.250,  4.575,  8.944, -8.163,  7.572,  7.364, -14.936, -292.250, -117.304,  0.401, -2.000, -2.083
112.855, 120.937, 127.385, 109.444, 122.983, 127.574, 1952.409, 88.426,  0.045,  3.000, -4.500,  9.112, -11.322, -8.450, 18.714,  0.425, -19.139, -159.178, 19.387, -0.122,  4.000,  4.929
130.883, 132.728, 106.245, 129.688, 127.606, 102.706, 1136.657, 110.120,  0.097,  6.000,  0.250, -9.046, 17.303, -8.181, -4.156, 14.592, -10.436, -79.707, -76.452,  0.959,  3.000,  2.000
136.389, 114.840, 109.221, 132.856, 115.176, 111.969, 1359.261, 74.285,  0.055,  5.000, -0.100, -23.019, -30.453,  5.580, -2.028, -11.798, 13.826, 32.489, 59.861,  1.843,  1.000, -1.500
116.442, 99.655, 143.904, 114.169, 100.625, 145.207, 211.115, 169.993,  0.805,  8.000,  1.929, 24.130, -33.049,  3.933, 29.896, -36.475,  6.578, -145.992, -163.818,  1.122, -5.000, -4.762
91.417, 114.766, 124.998, 100.993, 112.110, 146.897, 2368.296, 350.883,  0.148,  6.000, -1.100, 22.228, -0.987, -13.771, 21.062, -3.241, -17.821, -968.851, -280.414,  0.289,  0.000, -2.200
90.646, 125.910, 119.989, 103.082, 134.433, 122.485, 4367.795, 160.191,  0.037,  5.000, -2.625, 12.653, 26.320, -11.019,  2.119, 16.427, -18.546, 301.111, -109.028, -0.362,  5.000,  6.625
145.285, 104.267, 110.448, 147.835, 101.174, 110.990, 78.509,  3.695,  0.047,  6.000,  1.100,  8.605, 24.911, -33.516,  9.065, 28.777, -37.842, -39.416, -3.484,  0.088, -2.000, -4.767
103.045, 108.395, 148.557, 102.416, 108.458, 149.122, 314.344, 14.683,  0.047,  8.000,  1.857, -9.850, 24.679, -14.826, -3.779, 26.341, -22.558, -179.171, -10.370,  0.058, -5.000, -8.690
130.461, 126.151, 104.458, 126.390, 124.950, 108.660, 130.562, 10.768,  0.082,  9.000,  3.889,  9.357, 12.506, -22.069, 11.523,  9.420, -20.943, -69.531, -1.535,  0.022, -5.000, -7.389
119.570, 117.034, 119.086, 113.528, 121.919, 124.553, 784.312, 25.979,  0.033,  5.000, -1.500, -1.157,  9.551, -4.085,  7.831,  2.076, -9.907, -46.759,  2.763, -0.059,  3.000,  3.188
115.079, 105.133, 139.423, 116.760, 102.195, 141.044, 1522.203, 179.232,  0.118, 17.000, 10.429, -11.826,  9.806,  2.385, -23.846, 22.554,  1.292, -353.739, -61.902,  0.175, -7.000, -6.804
117.939, 134.823, 106.698, 118.351, 134.908, 106.741, 223.918,  5.599,  0.025,  7.000, -0.857, -40.230, 13.638, 29.156, -41.384, 13.487, 27.896, -71.003, -1.351,  0.019, -3.000, -2.018
111.322, 107.620, 141.283, 111.311, 107.499, 141.190, 26.730,  1.640,  0.061,  4.000, -3.500,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN, -14.057, 167.159, -11.891,  0.000,  2.000
138.333, 121.525, 101.673, 136.610, 116.678, 106.712, 150.920, 10.767,  0.071,  7.000, -1.625, -21.912, -28.838, 42.932, -13.194, -6.036, 19.230, 37.997, 255.894,  6.735, -2.000,  2.125
149.579, 82.477, 123.620, 144.258, 95.375, 120.366, 141.886,  0.000,  0.000,  1.000, -6.500, -13.189, 11.317,  1.906, -8.768, -1.635, 10.403,  3.091,  6.268,  2.028,  3.000,  3.625
112.816, 111.188, 135.997, 128.283, 100.886, 130.832, 94.011,  8.241,  0.088,  4.000, -4.375, 16.384, -23.114,  6.730, -19.354,  8.004, 11.351, -53.436, -5.631,  0.105,  0.000,  0.875
117.082, 141.093, 108.243, 115.908, 136.694, 107.398, 355.080, 42.588,  0.120,  9.000,  0.667, -16.769, -10.037, 35.329, -21.364, -10.491, 31.855, -108.549, -23.402,  0.216, -5.000, -2.167
118.960, 112.525, 113.512, 121.170, 120.383, 118.447, 112.296,  5.544,  0.049,  5.000, -2.625, 15.513, 12.052, -9.059, 12.921,  2.484, -15.406, -67.446, -3.983,  0.059,  0.000,  2.325
130.063, 113.010, 116.926, 131.506, 110.292, 118.202, 201.493, 21.871,  0.109,  5.000, -5.000,  4.666, -20.168, 15.462,  3.235, -17.430, 14.195, -160.895, -20.838,  0.130, -1.000,  2.875
125.581, 123.636, 115.233, 126.825, 126.013, 107.162, 552.370, 31.417,  0.057,  2.000, -6.000, -24.021,  2.531, 12.491, -35.493,  9.269, 26.224, -237.802, -23.311,  0.098,  4.000,  6.583
109.201, 124.603, 126.196, 112.020, 119.543, 128.437, 1018.338, 42.928,  0.042,  6.000, -1.167, -15.678, 11.133,  5.498, -21.353, 19.577,  1.777, -293.790, -14.472,  0.049,  0.000,  1.667
130.884, 114.389, 110.355, 132.600, 107.706, 119.694, 232.430,  7.553,  0.032, 14.000,  6.600, -20.388, -6.605, 32.698, -18.654, -2.292, 20.946, -103.680,  5.852, -0.056, -11.000, -9.100
116.087, 108.048, 130.414, 113.160, 108.397, 138.443, 616.232, 33.812,  0.055,  4.000, -5.667,  2.433,  9.682,  7.101,  1.313,  2.150, -3.463, -605.295, -33.228,  0.055, -1.000,  2.000
91.393, 116.447, 140.009, 86.141, 129.506, 144.353, 117.150, 269.722,  2.302,  4.000, -2.250,  6.110,  6.761, -0.718, 10.462, -4.299, -6.163, 50.454, -244.816, -4.852,  2.000, -1.250
130.853, 105.326, 124.902, 132.598, 105.535, 121.867, 1181.600, 67.384,  0.057,  7.000, -3.250, 17.013, -23.637,  5.543, 11.516, -13.753,  2.237, -176.832, -42.310,  0.239, -2.000,  1.750
134.418, 110.426, 114.535, 133.494, 111.122, 115.383, 509.929, 47.744,  0.094,  7.000, -1.417, -3.993, -0.038,  4.653,  0.715, -12.383, 11.668, 23.242, 23.692,  1.019,  2.000,  0.817
136.598, 110.031, 125.501, 130.812, 108.000, 121.188, 3194.255, 197.742,  0.062,  7.000, -1.875, -16.385, -6.304, 10.557, -6.706,  2.119,  4.588, -609.928, -123.141,  0.202,  4.000,  5.232
109.597, 117.660, 115.653, 106.977, 126.503, 126.520, 120.012, 34.367,  0.286,  8.000, -0.643, 13.804, -16.420,  2.156, 14.680, -17.930,  3.250, -28.961, -13.130,  0.453, -3.000, -1.732
125.751, 127.035, 103.155, 122.200, 125.023, 112.777, 1488.661, 97.698,  0.066, 15.000,  8.500,  0.799,  7.817, -7.028,  4.034, 12.063, -16.097, -252.565, -16.512,  0.065, -5.000, -5.167
