mig_abs_nearest, mig_abs_ot
 0.596,  0.734
 0.479,  0.553
 1.781,  1.901
 1.188,  1.474
 2.215,  2.898
 4.872,  7.449
 2.001,  2.247
 0.771,  0.937
 2.644,  2.740
 1.280,  1.378
 2.566,  2.656
 2.675,  2.730
 2.574,  2.782
 1.997,  2.007
 2.354,  2.542
 1.278,  1.444
 6.062,  6.169
 0.389,  0.466
 3.382,  4.254
 0.889,  1.001
 0.471,  0.686
 3.445,  3.807
15.532, 15.994
 1.988,  2.199
 4.226,  5.527
 2.872,  2.925
 2.144,  2.274
 2.350,  2.446
 2.393,  2.757
 0.826,  1.125
 1.672,  1.679
 0.885,  1.143
 1.037,  1.903
 1.761,  1.899
 2.722,  2.732
 2.440,  2.957
 3.162,  3.505
 1.234,  1.394
 1.341,  1.432
 1.612,  1.628
 3.621,  3.752
 1.039,  1.242
 1.814,  2.031
 0.869,  1.057
 1.122,  1.330
 1.653,  1.823
 1.025,  1.128
 2.639,  2.743
 1.009,  1.180
 1.177,  1.373
 1.067,  1.384
 3.463,  3.499
 0.868,  1.381
 0.709,  8.966
 4.539,  4.569
 1.733,  1.891
 0.633,  0.690
 4.119,  4.152
 1.694,  2.245
 3.157,  3.226
 5.295,  9.211
 1.487,  1.847
 0.980,  1.238
 0.859,  0.995
 1.556,  1.656
 0.805,  0.942
 2.424,  2.498
 0.724,  0.951
 1.885,  2.139
 0.690,  0.734
 3.270,  3.673
 4.504,  4.708
 3.832,  4.041
 1.018,  1.201
 0.962,  1.114
 1.577,  1.997
 1.096,  1.158
 1.585,  1.780
 3.210,  3.547
 1.109,  1.244
 1.481,  1.535
 2.232,  2.471
 0.725,  0.800
 3.558,  3.660
 3.077,  3.123
 0.889,  1.055
 1.124,  1.285
 1.523,  1.604
 2.275,  2.351
 0.757,  0.807
 0.845,  0.927
 1.658,  1.710
 0.810,  0.867
 0.593,  0.645
 1.892,  2.007
 1.313,  1.449
 1.159,  1.643
 2.298,  2.568
 2.382,  2.774
 1.153,  1.584
 0.643,  0.704
 1.030,  1.215
 1.546,  1.987
 3.764,  4.450
 2.371,  2.530
 2.393,  2.884
 2.448,  2.578
 0.788,  1.087
 2.610,  2.806
 2.017,  2.552
 0.795,  0.937
 1.685,  1.834
 1.902,  1.971
 1.915,  2.006
 1.354,  1.552
 6.691,  8.350
 1.340,  1.810
 3.463,  3.516
 1.056,  1.151
 6.668,  8.654
 0.571,  0.894
 2.321,  2.461
 1.449,  2.157
 1.776,  1.889
 1.839,  1.938
 1.722,  1.864
 2.978,  3.372
 0.835,  1.015
 2.223,  2.437
 2.757,  3.161
 1.250,  1.384
 6.076,  7.483
 1.862,  3.043
 0.701,  0.992
 7.508,  8.562
 3.512,  3.765
 1.236,  1.391
 2.994,  4.062
 4.519,  4.425
 1.427,  1.711
 1.680,  1.840
 1.723,  2.110
 6.698,  6.822
 1.578,  1.634
 0.883,  0.911
 1.789,  2.815
 3.226,  4.119
 0.540,  1.982
 0.804,  2.821
 4.533,  4.652
 0.989,  1.252
 3.068,  4.278
 4.856,  4.995
 6.572,  6.673
 4.569,  4.607
 3.764,  3.893
 1.520,  1.834
 1.238,  1.409
 1.900,  1.982
 0.643,  0.787
 1.176,  1.271
 0.899,  0.973
 2.353,  2.659
 6.528,  6.508
 4.571,  4.738
 1.395,  1.481
 2.922,  2.890
 2.622,  3.026
 0.998,  1.195
 1.624,  1.863
 1.634,  1.812
 2.205,  2.387
