gsize_diff_an4,gf_diff_an4,f_fnn_diff_an4,fnnf_maxadec_l_m_r,dist_centroid_diff_l_an4
 8.644,     5, 6.571,-1141.322, 0.090
-14.956,    -6,-1.111,-1739.107,-0.197
-7.437,    -4, 0.688,-1737.714, 0.285
 6.861,   -11,-16.019,-1966.832, 0.009
55.957,    13,10.422,720.885, 0.046
-8.690,   -14,-16.872,7402.154,-0.102
28.738,     6, 4.056,-1809.168, 0.133
-0.352,   -14,-19.153,-1367.156, 0.150
-11.403,    -7,-8.978,-2030.586,-0.065
 9.714,    -3,-6.825,-2479.318, 0.002
-10.716,   -12,-15.878,-2761.608, 0.007
-76.565,   -27,-34.289,-808.061,-0.001
65.486,    13,14.622,-2856.713,-0.016
-41.108,   -26,-28.846,5123.870,-0.082
-8.029,    -7,-15.578,-313.158,-0.078
30.091,     8, 9.122,-265.884, 0.158
19.315,     3,-0.311,-2788.885, 0.210
43.097,     6, 2.056,-1341.873, 0.433
39.254,     7, 3.404,-1341.873,-0.025
 2.451,     0, 3.077,-2435.102, 0.001
 9.452,    -1, 2.516,-1441.142,-0.025
31.007,     6, 9.659,-1718.606,-0.026
28.190,     6, 6.659,-2454.671, 0.709
 1.385,    -2,-1.169,-2355.339,-0.010
 4.501,    -4,-5.299,-2281.734,-0.025
-5.375,    -8,-8.188,-2003.847, 0.176
10.104,     0, 4.917,-1078.682,-0.055
17.848,     4,10.250,-1036.942, 0.258
-1.191,    -6,-4.472,-830.919,-0.045
-65.093,   -22,-20.216,493.550,-0.734
12.150,     6,11.667,-637.616,-0.043
-28.473,    -6,-3.333,2244.886, 0.036
17.410,    14,17.411,301.090, 0.385
31.769,    22,33.773,132.543, 0.752
23.644,    17,27.928,-95.712, 0.330
11.020,    20,22.011,1810.476,-0.036
24.771,    17,28.095,-44.149, 0.385
-12.011,     6, 9.693,1540.529, 0.076
 1.466,     5, 3.886,-42.106,-0.007
 1.246,    10,12.661,1287.843,-0.030
-19.715,     7,10.618,1417.742,-0.199
