size_diff, size_an4, num_faces_an4
-1.477, 16.400,  4.000
 3.115, 22.949,  4.000
 3.095, 19.777,  4.000
-1.626, 85.637, 13.000
 2.521, 185.787, 24.000
-0.454, 25.142,  4.000
 3.890, 160.226, 28.000
-16.652, 49.093,  9.000
 3.480, 37.633,  9.000
 1.659, 130.134, 21.000
-6.889, 47.593,  7.000
-2.429, 95.803, 15.000
-9.086, 46.548,  6.000
-0.799, 17.049,  4.000
-19.032, 40.982,  6.000
 1.377, 34.776,  6.000
 0.770, 21.908,  5.000
 0.833, 109.537, 17.000
-110.063, 123.484, 17.000
 6.439, 151.946, 38.000
 1.105, 30.532,  6.000
-2.100, 19.621,  2.000
-4.073, 18.030,  4.000
-1.988, 65.909, 14.000
-0.590, 75.138,  9.000
-0.785, 83.014,  8.000
-3.312, 57.833,  7.000
-1.315, 61.285, 11.000
 1.033, 29.756,  6.000
-2.471, 81.222, 14.000
-4.657, 62.731, 10.000
 3.888, 12.587,  3.000
 1.246, 26.644,  6.000
-9.655, 45.917,  6.000
 0.979, 130.595, 12.000
-3.096, 16.173,  4.000
-2.609, 40.789, 10.000
 3.384, 30.937,  6.000
 0.639, 79.878, 13.000
 2.061, 28.121,  5.000
-1.124, 71.889, 10.000
-1.078, 86.548, 13.000
 3.685, 139.924, 19.000
-0.260, 19.828,  3.000
 2.449, 111.391, 19.000
 1.175, 26.241,  5.000
-4.315, 43.700, 10.000
-11.407, 56.772,  8.000
 0.376, 24.078,  6.000
 0.250, 17.843,  5.000
 1.074, 92.448, 17.000
 1.001, 26.785,  4.000
-2.295, 86.237, 13.000
 1.935, 28.423,  5.000
 5.585, 171.672, 30.000
-6.739, 65.216,  8.000
-15.555, 44.660,  5.000
 2.772, 33.335,  5.000
 1.878, 22.440,  8.000
-3.998, 48.147,  6.000
 4.012, 42.795, 10.000
 0.912, 21.079,  4.000
-20.975, 41.303,  5.000
 0.943, 91.172, 13.000
-16.418, 44.436,  6.000
-3.179, 63.193, 10.000
-8.913, 33.765,  5.000
-19.038, 33.870,  7.000
 1.338, 117.018, 14.000
-3.051, 67.031, 12.000
-13.520, 40.361,  5.000
-7.223, 71.248, 10.000
-0.598, 79.846, 16.000
 1.787, 33.006,  6.000
-7.105, 49.218,  7.000
-7.451, 44.841,  8.000
-4.959, 46.752,  7.000
-9.173, 75.281,  8.000
-16.960, 42.905,  6.000
-12.344, 68.586,  9.000
-1.527, 70.425,  9.000
-8.955, 65.216,  7.000
-1.571, 64.739,  8.000
-2.536, 75.234, 11.000
 4.041, 186.902, 39.000
-7.130, 58.198,  9.000
-3.077, 86.738,  8.000
-4.470, 71.599, 11.000
21.696, 13.958,  3.000
 0.211, 88.839, 12.000
-0.626, 59.524,  7.000
-7.009, 68.889,  9.000
-12.851, 46.844,  6.000
 0.710, 87.822, 11.000
-0.299, 102.730, 17.000
 2.870, 129.030, 24.000
-0.418, 101.272, 17.000
-5.192, 50.859,  7.000
-5.300, 65.409, 11.000
 2.164, 25.855,  5.000
-5.202, 18.395,  4.000
 4.386, 37.187,  7.000
 3.644, 21.781,  6.000
-1.026, 83.279, 10.000
-6.647, 50.991,  6.000
-1.483, 24.043,  6.000
 1.681, 15.013,  4.000
-11.190, 49.996,  6.000
-2.785, 59.632,  8.000
-0.540, 136.045, 16.000
-9.176, 59.722,  6.000
 0.971, 79.203, 12.000
 3.297, 158.984, 24.000
-4.222, 49.450,  5.000
-12.747, 49.417,  6.000
 5.122, 35.350,  6.000
 1.678, 76.721, 15.000
-0.632, 57.603, 10.000
 2.439, 26.034,  2.000
 3.590, 160.460, 34.000
-5.385, 57.682, 10.000
26.766, 20.279,  5.000
-4.098, 73.779,  9.000
-3.471, 79.116,  9.000
 2.474, 27.993,  7.000
-3.917, 72.361, 11.000
 2.888, 116.006, 20.000
-1.296, 61.853, 10.000
-1.546, 88.890, 16.000
-8.358, 51.383,  6.000
-4.945, 50.084,  7.000
 2.213, 23.581,  4.000
 2.608, 119.777, 19.000
 4.079, 189.824, 33.000
-4.072, 38.427,  4.000
 1.550, 155.009, 27.000
-1.258, 85.323, 11.000
 0.038, 76.343, 11.000
 3.665, 35.366,  6.000
-0.613, 61.504,  8.000
 0.409, 81.666, 16.000
 3.319, 36.092,  6.000
 1.594, 96.170, 17.000
-7.153, 48.900,  5.000
-0.382, 17.968,  3.000
-6.502, 61.145,  7.000
-13.112, 24.885,  4.000
-109.759, 125.456, 27.000
 1.719, 112.058, 13.000
-0.723, 95.256, 11.000
 0.378, 12.458,  1.000
-5.655, 41.747,  4.000
 1.734, 100.711, 21.000
 5.046, 198.313, 43.000
-9.873, 60.716,  8.000
-2.580, 70.180, 10.000
 1.701, 29.733,  7.000
 0.529, 99.044, 16.000
-1.868, 21.696,  3.000
-3.773, 87.718,  9.000
 5.640, 47.226, 13.000
 3.497, 29.527,  7.000
-2.941, 98.867, 15.000
-8.918, 62.649,  9.000
 1.134, 139.459, 21.000
-1.761, 47.253,  6.000
15.634, 16.979,  4.000
-3.302, 85.295, 14.000
-1.929, 82.844,  8.000
 0.187, 114.925, 24.000
 0.928, 25.046,  5.000
 4.116, 146.766, 27.000
-1.156, 62.063, 13.000
-0.100, 14.261,  4.000
 1.565, 139.880, 24.000
-2.272, 76.574, 10.000
-12.254, 46.107,  7.000
-1.032, 105.546, 23.000
 0.065, 24.819,  5.000
 0.952, 102.380, 12.000
-3.262, 56.178, 10.000
 2.010, 35.220,  7.000
-3.121, 70.893, 13.000
 3.989, 161.200, 33.000
-5.515, 43.805,  6.000
-0.193, 93.200, 12.000
-17.899, 43.784,  6.000
-15.297, 32.345,  8.000
 0.182, 77.312, 12.000
-0.893, 80.928, 12.000
 8.349, 15.013,  4.000
-3.318, 47.876,  8.000
-0.705, 62.479, 13.000
 2.030, 28.019,  4.000
 2.286, 158.998, 32.000
-0.210, 13.958,  3.000
 2.304, 122.760, 18.000
 0.311, 70.901, 13.000
 0.491, 15.448,  3.000
-2.626, 86.004, 11.000
-17.731, 41.421,  6.000
-124.360, 136.819, 20.000
-3.523, 52.024, 11.000
 1.444, 97.804, 15.000
-0.176, 108.074, 15.000
 1.862, 72.618, 12.000
-8.606, 55.052,  7.000
-0.367, 68.880,  9.000
 0.119, 128.023, 22.000
 1.012, 28.398,  5.000
 2.239, 137.171, 18.000
 3.361, 115.654, 19.000
-13.805, 39.720,  4.000
-4.655, 42.373,  9.000
-2.592, 61.922, 11.000
-7.434, 55.935,  7.000
 0.166, 105.010, 12.000
 1.997, 25.945,  3.000
 0.010, 99.646, 14.000
-0.385, 102.795, 16.000
-1.752, 85.436, 14.000
-6.085, 51.115,  9.000
-3.330, 20.850,  5.000
 3.961, 12.056,  3.000
-1.119, 60.552, 11.000
-1.509, 24.147,  5.000
-3.588, 65.277,  8.000
59.132, 14.832,  2.000
 0.224, 75.185, 16.000
 0.382, 95.071, 10.000
-0.634, 84.842, 14.000
 3.011, 36.230,  7.000
-8.792, 53.002,  7.000
-3.867, 47.451, 10.000
-17.150, 32.074,  8.000
 0.152, 34.423,  5.000
 2.966, 26.328,  5.000
-13.439, 35.430,  7.000
 3.312, 111.404, 20.000
 8.982, 33.658,  7.000
-6.479, 48.121,  5.000
-9.332, 38.125,  8.000
 3.324, 37.633,  5.000
 4.168, 226.623, 37.000
